Nombre;Latitud;Longitud;Dependencia;Region;Comuna;Ruralidad;Matricula_Total
Colegio Metodista De Santiago;-33,46779045;-70,64697722;Part. Subvencionado;RM;Santiago;Urbano;346
Escuela Esp. Part.  Antukuyen;-33,59871;-70,88515;Part. Subvencionado;RM;Peñaflor;Urbano;94
Esc.Part. Talleres Prevocacionales Padre Hurt;-33,4057892;-70,74412652;Part. Subvencionado;RM;Renca;Urbano;38
Esc. Esp. Puerta Del Sol;-33,39789;-71,122154;Part. Subvencionado;RM;Curacaví;Urbano;162
Escuela Especial N°104  Santa Maria De Vinculo;-33,82094;-70,74169;Part. Subvencionado;RM;Paine;Rural;137
Colegio Australia;-33,61878436;-70,62765577;Part. Subvencionado;RM;La Pintana;Urbano;154
Colegio Santiago;-33,55042118;-70,59782185;Part. Subvencionado;RM;La Florida;Urbano;1065
Colegio Bicentenario De Excelencia Cardenal Carlos Oviedo Cavada;-33,513694;-70,79515242;Part. Subvencionado;RM;Maipú;Urbano;1646
Colegio Particular Alicante;-33,47521664;-70,75730314;Part. Subvencionado;RM;Maipú;Urbano;3663
Escuela Especial Mistral;-33,5904;-70,69467;Part. Subvencionado;RM;San Bernardo;Urbano;131
Colegio Bicentenario Santa Maria De Paine;-33,80612254;-70,7418522;Part. Subvencionado;RM;Paine;Urbano;1630
Escuela Especial N°1761 Mi Pequeño Colibri Pudahuel;-33,445774;-70,753426;Part. Subvencionado;RM;Pudahuel;Urbano;138
Escuela Especial Nueva Cordillera N_ 1762;-33,397545;-70,55978;Part. Subvencionado;RM;Las Condes;Urbano;53
Escuela Especial Particular Despertares;-33,529713;-70,62116;Part. Subvencionado;RM;La Granja;Urbano;42
Esc. Especial Part. Reyes De Espana;-33,431946;-70,71314;Part. Subvencionado;RM;Quinta Normal;Urbano;60
Colegio Saint Charles College La Florida;-33,53514405;-70,59832597;Part. Subvencionado;RM;La Florida;Urbano;512
Esc. Esp. Cent. Des. Integ. De La Comun. Adon;-33,52452;-70,77059;Part. Subvencionado;RM;Maipú;Urbano;90
Escuela Especial 1768 Renacer;-33,580482;-70,66873;Part. Subvencionado;RM;El Bosque;Urbano;246
Escuela Hermanos Carrera;-33,50417766;-70,75025665;Part. Subvencionado;RM;Maipú;Urbano;639
Colegio Particular Novo Mundo;-33,36287519;-70,72137879;Part. Subvencionado;RM;Quilicura;Urbano;1687
Colegio Particular San Sebastian De Quilicura;-33,36231712;-70,75345495;Part. Subvencionado;RM;Quilicura;Urbano;2016
Colegio `Emprender Obispo Alvear`;-33,59006411;-70,59446647;Part. Subvencionado;RM;Puente Alto;Urbano;1850
Esc.Basica Part. Aconcagua De Pudahuel;-33,42865744;-70,75439615;Part. Subvencionado;RM;Pudahuel;Urbano;157
Escuela Especial Particular Angeles;-33,447376;-70,6203;Part. Subvencionado;RM;Providencia;Urbano;109
Colegio Quinto Centenario Cordillera;-33,53595991;-70,55513762;Part. Subvencionado;RM;La Florida;Urbano;466
Esc. Esp. Ninos De La Luna;-33,422462;-70,70616;Part. Subvencionado;RM;Quinta Normal;Urbano;41
Colegio Betterland School;-33,36419678;-70,49712536;Part. Subvencionado;RM;Lo Barnechea;Urbano;821
Centro Politecnico Particular Conchali;-33,38186548;-70,66200969;Part. Subvencionado;RM;Conchalí;Urbano;1618
Escuela Especial Part. Aconcagua De Pudahel N;-33,4283;-70,75389;Part. Subvencionado;RM;Pudahuel;Urbano;103
Esc. Especial 1775 San Antonio Ii;-33,284187;-70,88761;Part. Subvencionado;RM;Lampa;Urbano;297
Escuela Especial Part. Tripantu;-33,470634;-70,72717;Part. Subvencionado;RM;Estación Central;Urbano;103
Esc. Esp. Chile Cuba;-33,50087;-70,62686;Part. Subvencionado;RM;San Joaquín;Urbano;98
Col.  Part. Sales. El Patrocinio De San Jose;-33,43088782;-70,6284684;Part. Subvencionado;RM;Providencia;Urbano;1055
Esc. Especial Gulliver;-33,44538;-70,697266;Part. Subvencionado;RM;Quinta Normal;Urbano;135
Escuela Especial ` Manquemapu`;-33,48354;-70,75625;Part. Subvencionado;RM;Maipú;Urbano;96
Escuela Especial Part. Tragaluz;-33,462997;-70,68645;Part. Subvencionado;RM;Estación Central;Urbano;80
Escuela Especial Mario Baeza;-33,48953768;-70,76913732;Part. Subvencionado;RM;Maipú;Urbano;184
Escuela Especial Gabriela Mistral;-33,560165;-70,56524;Part. Subvencionado;RM;La Florida;Urbano;158
Esc. De Parv. Y Esp. Enanitos;-33,571064;-70,677055;Part. Subvencionado;RM;El Bosque;Urbano;205
Escuela Espec. Part. Arco Iris De Recoleta;-33,402752;-70,651436;Part. Subvencionado;RM;Recoleta;Urbano;113
Esc. Especial Tiempo Nuevo;-33,589653;-70,63022;Part. Subvencionado;RM;La Pintana;Urbano;93
Escuela Particular 1788 Eden De San Ramon;-33,547203;-70,6367;Part. Subvencionado;RM;San Ramón;Urbano;90
Colegio Poliv. San Bernardo Abad;-33,59607568;-70,6800366;Part. Subvencionado;RM;San Bernardo;Urbano;1146
Esc. Parv. Y Esp. Gabriela Mistral De Maipu;-33,492905;-70,73994;Part. Subvencionado;RM;Maipú;Urbano;69
Escuela Especial Arcangel Gabriel;-33,49021;-70,66537;Part. Subvencionado;RM;Pedro Aguirre Cerda;Urbano;66
Colegio Particular Ignacio Serrano;-33,58831365;-70,67393567;Part. Subvencionado;RM;San Bernardo;Urbano;438
Esc.Esp. Part. El Olivar;-33,613728;-70,64286;Part. Subvencionado;RM;La Pintana;Urbano;81
Esc. Esp. Part. Palu;-33,55197;-70,60367;Part. Subvencionado;RM;La Florida;Urbano;97
Escuela Especial Belen De Maipu;-33,51645;-70,774796;Part. Subvencionado;RM;Maipú;Urbano;70
Esc. Esp. Part. Kades Barnea;-33,55702;-70,57933;Part. Subvencionado;RM;La Florida;Urbano;43
Esc. Esp. Part. Los Aromos De Maipu;-33,509727;-70,7498;Part. Subvencionado;RM;Maipú;Urbano;111
Escuela Particular N_ 1796 Nuevo Horizonte;-33,36246;-70,50871;Part. Subvencionado;RM;Lo Barnechea;Urbano;34
Escuela Basica Part Santa Maria De Esmeralda;-33,18045083;-70,66368205;Part. Subvencionado;RM;Colina;Urbano;368
